Date,Open,High,Low,Close,Adj Close,Volume
2014-05-26,8986.5,9091.7998046875,8962.5,9061.0,9061.0,20100
2014-05-27,9082.2998046875,9206.150390625,9048.5,9101.849609375,9101.849609375,20300
2014-05-28,9106.150390625,9253.650390625,9103.7998046875,9237.25,9237.25,14200
2014-05-29,9075.7998046875,9075.7998046875,8909.4501953125,8927.400390625,8927.400390625,17000
2014-05-30,8941.0,8992.25,8877.75,8970.2998046875,8970.2998046875,15400
2014-06-02,9004.0,9022.599609375,8963.2001953125,8981.9501953125,8981.9501953125,7900
2014-06-03,9007.7998046875,9039.0,8913.9501953125,8976.400390625,8976.400390625,10400
2014-06-04,8974.9501953125,8990.900390625,8820.7998046875,8863.900390625,8863.900390625,12300
2014-06-05,8877.5,9032.5,8841.7998046875,8984.599609375,8984.599609375,14500
2014-06-06,8943.2998046875,8957.7001953125,8849.0498046875,8945.099609375,8945.099609375,17400
2014-06-09,8948.75,9029.0498046875,8926.2998046875,9017.7001953125,9017.7001953125,13400
2014-06-10,9043.2998046875,9254.0498046875,9043.2998046875,9234.599609375,9234.599609375,19900
2014-06-11,9290.5,9510.0,9276.2998046875,9436.400390625,9436.400390625,19700
2014-06-12,9589.2001953125,9605.5498046875,9310.599609375,9447.849609375,9447.849609375,13000
2014-06-13,9462.0,9474.150390625,9339.2998046875,9448.650390625,9448.650390625,11000
2014-06-16,9449.0,9600.150390625,9449.0,9579.849609375,9579.849609375,11300
2014-06-17,9618.75,9678.2001953125,9589.150390625,9620.0498046875,9620.0498046875,11600
2014-06-18,9630.849609375,9660.5,9494.2001953125,9521.349609375,9521.349609375,11400
2014-06-19,9522.2001953125,9712.650390625,9503.7001953125,9698.900390625,9698.900390625,12100
2014-06-20,9714.5,9736.599609375,9663.2998046875,9700.2001953125,9700.2001953125,11500
2014-06-23,9671.5498046875,9695.2998046875,9518.349609375,9548.2001953125,9548.2001953125,7300
2014-06-24,9548.650390625,9588.5,9497.2001953125,9570.75,9570.75,8600
2014-06-25,9623.400390625,9643.5,9570.9501953125,9587.900390625,9587.900390625,8600
2014-06-26,9585.75,9648.099609375,9553.150390625,9579.400390625,9579.400390625,12400
2014-06-27,9619.4501953125,9828.9501953125,9607.599609375,9819.9501953125,9819.9501953125,16100
2014-06-30,9834.150390625,9921.150390625,9822.7001953125,9912.2998046875,9912.2998046875,12500
2014-07-01,9896.7998046875,9897.2998046875,9786.4501953125,9802.849609375,9802.849609375,9300
2014-07-02,9817.650390625,9849.5,9769.150390625,9807.599609375,9807.599609375,9100
2014-07-03,9806.0,9903.5498046875,9805.0,9831.349609375,9831.349609375,10700
2014-07-04,9829.9501953125,9883.849609375,9827.25,9866.9501953125,9866.9501953125,26100
2014-07-07,9922.9501953125,10139.400390625,9918.5,10126.25,10126.25,18400
2014-07-08,10146.75,10146.75,9973.150390625,10019.7001953125,10019.7001953125,18100
2014-07-09,10041.349609375,10082.7001953125,9867.349609375,9903.2998046875,9903.2998046875,16500
2014-07-10,9906.650390625,10002.650390625,9753.099609375,9816.2001953125,9816.2001953125,13300
2014-07-11,9992.150390625,10050.599609375,9889.650390625,9933.5498046875,9933.5498046875,13100
2014-07-14,9944.099609375,9944.099609375,9744.2998046875,9799.650390625,9799.650390625,9200
2014-07-15,9815.650390625,9856.150390625,9768.5498046875,9785.75,9785.75,9600
2014-07-16,9824.2001953125,9846.099609375,9761.650390625,9809.0,9809.0,8800
2014-07-17,9855.9501953125,9982.349609375,9807.349609375,9819.75,9819.75,10700
2014-07-18,9944.849609375,10019.2001953125,9929.900390625,9946.9501953125,9946.9501953125,16000
2014-07-21,9998.650390625,10018.2001953125,9892.400390625,9912.400390625,9912.400390625,11200
2014-07-22,9918.7998046875,10103.25,9918.7998046875,10086.650390625,10086.650390625,14100
2014-07-23,10120.0,10325.5,10120.0,10306.849609375,10306.849609375,19100
2014-07-24,10323.7998046875,10422.2001953125,10289.599609375,10400.150390625,10400.150390625,13200
2014-07-25,10343.0,10355.599609375,10211.900390625,10339.7001953125,10339.7001953125,15300
